Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-15,245.121,247.516,244.372,245.954,2611400,0.0,0.0
2019-07-16,245.371,247.045,243.392,244.751,3121600,0.0,0.0
2019-07-17,244.141,248.478,243.679,246.592,3995200,0.0,0.0
2019-07-18,245.658,246.462,237.908,240.997,5825800,0.0,0.0
2019-07-19,241.459,242.957,237.113,237.344,4413200,0.0,0.0
2019-07-22,238.722,239.471,235.383,236.114,4104300,0.0,0.0
2019-07-23,235.328,236.835,233.062,235.827,2889300,0.0,0.0
2019-07-24,233.774,233.811,226.69,232.239,4864000,0.0,0.0
2019-07-25,232.239,233.737,229.613,229.992,3362800,0.0,0.0
2019-07-26,230.288,234.782,227.967,233.913,3362600,0.0,0.0
2019-07-29,233.82,236.095,233.358,234.727,2005500,0.0,0.0
2019-07-30,233.654,235.873,231.629,235.753,1908800,0.0,0.0
2019-07-31,237.039,237.815,229.788,230.279,3532400,0.0,0.0
2019-08-01,230.445,232.655,228.679,230.5,3613600,0.0,0.0
2019-08-02,230.907,232.646,227.587,231.24,2677600,0.0,0.0
2019-08-05,229.465,231.139,224.341,226.626,5812400,0.0,0.0
2019-08-06,227.43,229.603,225.248,229.603,3533000,0.0,0.0
2019-08-07,227.745,228.457,223.112,227.911,3205800,0.0,0.0
2019-08-08,227.671,229.039,225.063,228.993,2830700,0.0,0.0
2019-08-09,229.086,231.582,227.624,229.927,2535000,0.0,0.0
